"ID","Code","CarOption","Version","Price","Sup_ID","Supplier","Address","Tel","Fax","Active","AssetGroupCode"
123,"00123",วิทยุCD+ลำโพง หน้า+หลัง(สุนทรฯ),"Commuter,Hiace","6300.0000",1716,บริษัท สุนทรไพโรจน์,"215","02-224-4969","02-226-5601",1,"0"
124,"00124",เบาะนั่งและพนักพิงหนังเทียม,ALTIS 16,"82000.0000",1714,บริษัท คราทอส เทรดดิ้ง จำกัด,"475 ซอยจัดสรรเอื้อวัฒนสกุล ถนนศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250","02-320-3171-5","02-320-3171กด4",1,"0"
125,"00125",เบาะหนังแท้,"","0.0000",0,,"","","",1,"0"
126,"00126",เสริมแหนบบรรทุก 1 ตัน (ข้างละ 1 แผ่น),"","2803.7400",1958,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด (สาขา 8 ),"555 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ 10520","02-364-8555","02-364-8551",1,"0"
127,"00127",แม็กลายเนอร์,"","0.0000",0,,"","","",1,"0"
128,"00128",วิทยุCD+ลำโพง หน้า (สุนทรฯ),Hiace,"4750.0000",1716,บริษัท สุนทรไพโรจน์,"215","02-224-4969","02-226-5601",1,"0"
129,"00129",ฟิล์มหลังคา,"","0.0000",0,,"","","",1,"0"
130,"00130","3 LOCK... ( เกียร์ธรรมดา )","542","2250.0000",0,บริษัท ที.เค.ดี. ไฟเบอร์ จำกัด,สาขา 4 383/1 ซอยศูนย์วิจัย แขวงบางกระปิ เขตห้วยขวาง กรุงเทพ 10310,"02-319-4306","02-318-1334",1,"0"
131,"00131",หลังคาทรงเตี้ย,"","12500.0000",1688,บริษัท สามมิตรมอเตอร์สแมนูแฟคเจอริ่ง จำกัด,"39 หมู่ 12 ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร 74130","0-2413-1520","0-2413-1522",1,"0"
132,"00132",พ่นกันสนิม,"","0.0000",0,,"","","",1,"0"
133,"00133",ผ้ายางปูพื้น,"","0.0000",0,,"","","",1,"0"
134,"00134",HERO LINER,"","0.0000",0,,"","","",1,"0"
135,"00135",เซ็นเซอร์ถอยหลัง,"2 จุด มีจอ","1588.7900",1685,บริษัท ออโตเมติค บิสซิเนส กรุ๊ป จำกัด,"1252 อาคารธญาณ ชั้น 10 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250",-,"0-2369-2848",1,"0"
136,"00136",เบาะแค๊ป,"","0.0000",0,,"","","",1,"0"
137,"00137",หลังคาทรงเตี้ย,แคป,"18600.0000",1688,บริษัท สามมิตรมอเตอร์สแมนูแฟคเจอริ่ง จำกัด,"39 หมู่ 12 ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร 74130","0-2413-1520","0-2413-1522",1,"0"
138,"00138",กันชนท้าย (SMM),step rr bumper smm black,"1121.5000",1688,บริษัท สามมิตรมอเตอร์สแมนูแฟคเจอริ่ง จำกัด,"39 หมู่ 12 ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร 74130","0-2413-1520","0-2413-1522",1,"0"
139,"00139",หลังคาทรงเตี้ย,"4 ประตู","21200.0000",1958,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด (สาขา 8 ),"555 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ 10520","02-364-8555","02-364-8551",1,"0"
140,"00140",หลังคาทรงสูง,แคป ( 840 ),"18100.0000",1958,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด (สาขา 8 ),"555 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ 10520","02-364-8555","02-364-8551",1,"0"
141,"00141",หลังคาทรงสูง,"4 ประตู ( 840 )","17400.0000",1958,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด (สาขา 8 ),"555 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ 10520","02-364-8555","02-364-8551",1,"0"
142,"00142","แอร์แขวน,พัดลมไฟฟ้า,โซลินอยด์",CB-555,"11000.0000",1958,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด (สาขา 8 ),"555 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ 10520","02-364-8555","02-364-8551",1,"0"
143,"00143",ฟิล์ม LAMINA รอบคัน 60%คาดหน้า 7 นิ้ว,"","0.0000",0,,"","","",1,"0"
144,"00144",น้ำมันไม่ต่ำกว่า 1 ขีด,"","0.0000",0,,"","","",1,"0"
145,"00145",ลอกลายเลขเครื่องเลขตัวถังอย่างละ 2 ชุด,"","0.0000",0,,"","","",1,"0"
146,"00146","NGV  ""OMEGAS"", "" TYPE 1""100 ลิตรน้ำ",AVANZA,"64766.6600",1695,บริษัท ส.ศิริแสง จำกัด,"300/8-9 ถนนวิภาดีรังสิต แขวงดินแดง เขตดินแดง กรุงเทพฯ 10400","0-2691-9777","0-2277-8178",1,"0"
147,"00147",ฟิล์ม LAMINA รอบคัน 60% หน้าเต็ม 40%,"","0.0000",0,,"","","",1,"0"
148,"00148",เครื่องดับเพลิงขนาดเล็กติดรถยนต์,"","0.0000",0,,"","","",1,"0"
149,"00149",กันชนท้ายแบบ VIGO,"","0.0000",0,,"","","",1,"0"
150,"00150",กรอบป้ายทะเบียน,"","0.0000",0,,"","","",1,"0"
151,"00151",พรมปูพื้น,"","0.0000",0,,"","","",1,"0"
152,"00152",น้ำมันเต็มถัง,"","0.0000",0,,"","","",1,"0"
153,"00153",ล็อคพวงมาลัย,"","0.0000",0,,"","","",1,"0"
154,"00154",ฟิล์ม FOLIA TEC รอบคัน60%หน้าคาด 7 นิ้ว,"","0.0000",0,,"","","",1,"0"
155,"00155",ฟิล์ม FOLIA TEC รอบคัน60% หน้าเต็ม 40%,"","0.0000",0,,"","","",1,"0"
156,"00156",ล็อคเกียร์,"","0.0000",0,,"","","",1,"0"
157,"00157",ฟิล์ม V-KOOL รุ่น V70 รอบคันหน้าเต็ม 30%,"","0.0000",0,,"","","",1,"0"
158,"00158",ฟิล์ม V-KOOL รุ่น V40 รอบคันหน้าเต็ม 60%,"","0.0000",0,บริษัท ยู.เอส. ฟิล์ม จำกัด,"","","",1,"0"
159,"00159",ฟิล์ม V-KOOLรุ่นVK40รอบคัน60% รุ่นVK70 หน้าเต็ม30%,"","0.0000",0,,"","","",1,"0"
160,"00160","บำรุงรักษาฟรี 5 ปี หรือ 100,000 กม.","","0.0000",0,,"","","",1,"0"
161,"00161",ฟิล์ม LAMINA รอบคัน 40%คาดหน้า 7 นิ้ว,"","0.0000",0,,"","","",1,"0"
162,"00162",ติดตั้งระบบ GPS,"","0.0000",1714,บริษัท ออโต้เอ็ม ฯ,"1111/021","02-320-3171-5","02-320-3171",1,"0"
163,"00163",เบาะนั่ง 2 แถว,"4 ประตู","1800.0000",1679,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด,"383/1 ซอยศูนย์วิจัย แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ 10310","0-2318-4306","0-2318-1334",1,"0"
164,"00164",เบาะนั่ง 2 แถว,แคป,"1900.0000",1679,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด,"383/1 ซอยศูนย์วิจัย แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ 10310","0-2318-4306","0-2318-1334",1,"0"
165,"00165",เบาะนั่ง 2 แถว,ช่วงยาว,"2100.0000",1679,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด,"383/1 ซอยศูนย์วิจัย แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ 10310","0-2318-4306","0-2318-1334",1,"0"
166,"00166",หุ้มผ้าบนเพดานต่อจากกาบ+หนังเบ๊นซ์เทียม,"","3200.0000",0,,"","","",1,"0"
167,"00167",ปูพื้นไม้อัดทับกระเบื้องยาง,"","6300.0000",0,,"","","",1,"0"
168,"00168",เบาะปรับเอนนอน 9 ที่นั่ง หมอนสียบ,โครงสร้างปกติ,"30000.0000",0,,"","","",1,"0"
169,"00169",เปลี่ยนหนังเบาะหน้าและเบาะ 9 ที่นั่ง+หนังเบ๊นซ์เที,"","8000.0000",0,,"","","",1,"0"
170,"00170",บุแผงข้างพร้อมรีดลาย 5 แผง ด้วยผ้าหนังเทียมพิเศษ,Hiace GL,"4900.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2427-7818",1,"0"
171,"00171",บุภายในพร้อมคิ้วเสียบ+หนังเบ๊นซ์เทียม,"","3800.0000",0,,"","","",1,"0"
172,"00172",บุประตูท้ายพร้อมคิ้วเสียบ+หนังเบ๊นซ์เทียม,"","1500.0000",0,,"","","",1,"0"
173,"00173",คอนโซนแบบมีที่วางคูลเลอร์+หนังเบ๊นซ์เทียม,Hiace GL,"3800.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2427-7818",1,"0"
174,"00174",วิทยุ CD 1แผ่น ยี่ห้อ PIONEER รุ่น DEH 1950,Commuter,"6355.1400",1687,ลีดดิ้งแอร์,"555 ถ.พระสุเมรุ แขวงบวรนิเวศ เขตพระนคร กรุงเทพฯ 10200","0-2281-3703","0-2281-4781",1,"0"
175,"00175",ขัดเคลือบสี,"","0.0000",0,,"","","",1,"0"
176,"00176",ล็อคยางอะไหล่ใต้ท้อง,SOLEX,"560.7500",1654,บริษัท สามมิตรมอเตอร์ส แมนูเฟคเจอริ่ง จำกัด,"39 หมู่ 12 ถนนเพรชเกษม ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสุมทรสาคร 74130","02-420-9950","02-420-9952",1,"0"
177,"00177",หลังคาทรงเตี้ย,"4 ประตู","21200.0000",1688,บริษัท สามมิตรมอเตอร์สแมนูแฟคเจอริ่ง จำกัด,"39 หมู่ 12 ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร 74130","02-420-0027 ต่อ 1019,1020","02-420-5189",1,"0"
178,"00178",หลังคาทรงเตี้ย,ช่วงยาว,"20700.0000",1958,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด (สาขา 8 ),"555 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ 10520","02-364-8555","02-364-8551",1,"0"
179,"00179",ชุดคอล์ยเย็นและท่อดักท์ (ตู้),"","24000.0000",1690,บริษัท เอราวัณ คอนเด้นซ์ จำกัด,"16/5 หมู่ 11 ถนนตลิ่งชัน-สุพรรณบุรี ตำบลบางม่วง อำเภอบางใหญ่ จังหวัดนนทบุรี 11140","0-2924-7883","0-2595-1621",1,"0"
180,"00180",แผงกั้นหลังกระจกเลื่อนสไลท์ (ตู้),"","4000.0000",1690,บริษัท เอราวัณ คอนเด้นซ์ จำกัด,"16/5 หมู่ 11 ถนนตลิ่งชัน-สุพรรณบุรี ตำบลบางม่วง อำเภอบางใหญ่ จังหวัดนนทบุรี 11140","0-2924-7883","0-2595-1621",1,"0"
181,"00181",ตาข่ายกระจกแผงกั้นหลังและท้าย (ตู้),"","3000.0000",1690,บริษัท เอราวัณ คอนเด้นซ์ จำกัด,"16/5 หมู่ 11 ถนนตลิ่งชัน-สุพรรณบุรี ตำบลบางม่วง อำเภอบางใหญ่ จังหวัดนนทบุรี 11140","0-2924-7883","0-2595-1621",1,"0"
182,"00182",บุภานในขึ้นขอบบน(ตู้),"","3800.0000",1690,บริษัท เอราวัณ คอนเด้นซ์ จำกัด,"16/5 หมู่ 11 ถนนตลิ่งชัน-สุพรรณบุรี ตำบลบางม่วง อำเภอบางใหญ่ จังหวัดนนทบุรี 11140","0-2924-7883","0-2595-1621",1,"0"
183,"00183",บุช่องกระจกทึบ 4 ช่อง(ตู้),"","2000.0000",1690,บริษัท เอราวัณ คอนเด้นซ์ จำกัด,"16/5 หมู่ 11 ถนนตลิ่งชัน-สุพรรณบุรี ตำบลบางม่วง อำเภอบางใหญ่ จังหวัดนนทบุรี 11140","0-2924-7883","0-2595-1621",1,"0"
184,"00184",บุแผงข้าง 5 แผ่น(ตู้),"","1500.0000",1690,บริษัท เอราวัณ คอนเด้นซ์ จำกัด,"16/5 หมู่ 11 ถนนตลิ่งชัน-สุพรรณบุรี ตำบลบางม่วง อำเภอบางใหญ่ จังหวัดนนทบุรี 11140","0-2924-7883","0-2595-1621",1,"0"
185,"00185",บุประตูท้ายพร้อมคิ้วเสียบ(ตู้),"","1200.0000",1690,บริษัท เอราวัณ คอนเด้นซ์ จำกัด,"16/5 หมู่ 11 ถนนตลิ่งชัน-สุพรรณบุรี ตำบลบางม่วง อำเภอบางใหญ่ จังหวัดนนทบุรี 11140","0-2924-7883","0-2595-1621",1,"0"
186,"00186",เสริมแหนบบรรทุก 2.0-3.0 ตัน (ข้างละ 2 แผ่น),กระบะ,"5600.0000",1958,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด (สาขา 8 ),"555 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ 10520","02-364-8555","02-364-8551",1,"0"
187,"00187","NGV  ""TYPE 2"" 65 ลิตรน้ำ",ALTIS,"61214.9500",1717,บริษัท ซุปเปอร์เซ็นทรัลแก็ส จำกัด,"7/383 ซ.วิภาวดีรังสิต 36 แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900","02-939-5601","02-513-2098,02512-2351",1,"0"
188,"00188","ฟิล์ม กระจกหน้า 30% ,ประตู L-R 70%","VK-70,VK-40 ( โฟล์ค ตู้ T5 )","14018.6900",1732,ยู เอส ฟล์ม,"1002","02-320-4799","02-752-6877",1,"0"
189,"00189",คอกแป๊บประปาสูงจากหัวเก๋ง 15 ซม.,เสาตั้งข้าง 8 ต้น,"15887.8500",1683,บริษัท เอ็ม เค ซี มงคลชัย บอดี้ จำกัด,"1433 ซอยอ่อนนุช ถนนสุขุมวิท แขวงสวนหลวง เขตสวนหลวง กรุงเทพ 10250","0-2311-6002","0-2331-9156",1,"0"
190,"00190","บำรุงรักษาฟรี 5 ปี หรือ 100,000 กม.","","0.0000",1483,บริษัท เอสเอ็มซี มอเตอร์ จำกัด(มหาชน),"1739/1ซอยพูนสิน ถนนสุขุมวิท บางจาก  เขตพระโขนง กทม.","0-2744-9009-11","0-2361-4879",1,"0"
191,"00191","อุปกรณ์ตกแต่ง DVD+GPS,BLUETOOTH HANDFREE TELEPONE","","0.0000",1483,บริษัท เอสเอ็มซี มอเตอร์ จำกัด(มหาชน),"","","",1,"0"
192,"00192",ปูพื้นไม้อัดทับด้วยยางแผ่นเรียบ,Commuter,"5700.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
193,"00193",บุแผงข้างหนังเทียมพิเศษ,Commuter,"3100.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
194,"00194",บุภายใน+ประตูท้ายด้วยหนังเทียมพิเศษ,Commuter,"8600.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
195,"00195",คอนโซนแบบวางคลูเลอร์ เจาะลำโพง 6X9,Commuter,"4600.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
196,"00196",เบาะปรับเอนนอน 9 ที่นั่ง หมอนเสียบ PD-003,Commuter ( ปี 55 ),"47000.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
197,"00197",เปลี่ยนผ้าเบาะหน้าคนขับด้วยหนังเทียมพิเศษ,Commuter,"3500.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
198,"00198",ติดเข็มขัดนิรภัยของลูกค้า 9 ที่นั่ง,Commuter,"0.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
199,"00199",วิทยุCD+ลำโพงหน้า,Hiace,"4766.3600",1687,ลีดดิ้งแอร์,"555 ถ.พระสุเมรุ แขวงบวรนิเวศ เขตพระนคร กรุงเทพฯ 10200","0-2281-3703","0-2281-4781",1,"0"
200,"00200",ที่วางบันได+RACK+ลวดดึงฝาปิดท้าย,AVANZA,"6300.0000",1653,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด,สาขา 4 383/1 ซอยศูนย์วิจัย แขวงบางกระปิ เขตห้วยขวาง กรุงเทพ 10310,"02-319-4306","02-318-1334",1,"0"
201,"00201",ผ้ายางปูพื้นแบบเข้ารูปรอบคัน,"","0.0000",1677,บริษัท ยนตรกิจอินเตอร์เซลส์ จำกัด สาขารองเมือง,"6-6/1-4 ถนนรองเมือง ซอย 5 เขตปทุมวัน กรุงเทพ ฯ 10330","0-2216-8888 ต่อ 2172","0-2216-7870",1,"0"
202,"00202",คิ้วบันไดสเตนเลส สีเบจ มีไฟ LED (Code OBE12-TCO-72,"","0.0000",1674,"HONDA AUTOMOBILE(THAILAND) CO.,LTD.","2754/1 ซอยสุขุมวิท 66/1 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพ 10260","023417888,02341799-9ต่อ-1235","0-2790-9100",1,"0"
203,"00203",คิ้วโครเมี่ยมช่องลมกันชนหน้า (Code OBF23-TCO-700),"","0.0000",1674,"HONDA AUTOMOBILE(THAILAND) CO.,LTD.","2754/1 ซอยสุขุมวิท 66/1 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพ 10260","023417888,02341799-9ต่อ-1235","0-2790-9100",1,"0"
204,"00204",กระบะใส่ของท้ายรถ (Code OBU45-TCO-700),"","0.0000",1674,"HONDA AUTOMOBILE(THAILAND) CO.,LTD.","2754/1 ซอยสุขุมวิท 66/1 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพ 10260","023417888,02341799-9ต่อ-1235","0-2790-9100",1,"0"
205,"00205",ผ้าคลุมรถ (Code OBP34-TCO-700),"","0.0000",1674,"HONDA AUTOMOBILE(THAILAND) CO.,LTD.","2754/1 ซอยสุขุมวิท 66/1 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพ 10260","023417888,02341799-9ต่อ-1235","0-2790-9100",1,"0"
206,"00206",กระบังลมบนหัวเก๋ง,HINO ( XZU303R ),"5000.0000",1740,บริษัท พงศ์เจริญเอ็นจิเนียริ่ง จำกัด,"26/5 หมู่ 3 ซ.เพชรเกษม 114 แขวงหนองคางพลู เขตหนองแขม กรุงเทพฯ 16160","02-810-6430,02-810-6371-5","02-420-7080",1,"0"
207,"00207",ตาข่าย+แผ่นอลูมิเนียม 4 ด้าน พ่นพื้นบอดี้ชูด,HINO ( XZU303R ),"17900.0000",1740,บริษัท พงศ์เจริญเอ็นจิเนียริ่ง จำกัด,"26/5 หมู่ 3 ซ.เพชรเกษม 114 แขวงหนองคางพลู เขตหนองแขม กรุงเทพฯ 16160","02-810-6430,02-810-6371-5","02-420-7080",1,"0"
208,"00208",ฟิล์ม LAMINA รอบคัน 40%บานหน้าเต็ม 40%,APL50 (E 220),"3200.0000",1714,บริษัท ออโต้เอ็ม ฯ,"1111/021","02-320-3171-5","02-320-3171",1,"0"
209,"00209","ฟิล์มV-COOL 30%หน้าเต็ม,รอบคัน 60%","VK-70,VK-40 (E 200)","21028.0400",1732,บริษัท ยู.เอส. ฟิล์ม จำกัด,"1002","02-320-4799","02-752-6877",1,"0"
210,"00210",ติดตั้ง เข็มขัด 2 จุด 9 ที่นั่ง (เบาะ บ.เอราวัณ),ของติดรถ,"934.5800",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
211,"00211",ฟิล์ม LAMINA รอบคัน 60%หน้าเต็ม 40%,"ANL20,APL50 (โฟล์ค ตู้ T5 )","5500.0000",1714,บริษัท ออโต้ เอ็มโพเรี่ยม จำกัด,"1111/021","02-320-3171-5","02-320-3171",1,"0"
212,"00212",ปูพื้นไม้อัดและปูทับด้วยยางแผ่นเรียบ,Commuter ( ปี 55 ),"5700.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
213,"00213",บุแผงข้างพร้อมรีดลาย 5 แผง,"","6000.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
214,"00214",บุภายในรอบคัน พร้อมบุประตูท้ายผ้าหนังเทียมปกติ,"","8600.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
215,"00215","คอนโซนแบบมีที่วางคูลเลอร์ เจาะลำโพง 6X9""","","4000.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
216,"00216",เบาะปรับเอน 9 ที่นั่งหมอนเสียบ เย็บย่น หนังแท้,Commuter,"88000.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
217,"00217",เข็มขัดนิรภัยออโต้ 9 เส้น,"","13500.0000",1686,ห้างหุ้นส่วนจำกัด พิพัฒนพงศ์การช่าง,"377 หมู่ 9 ถนนประชาอุทิศ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2427-7029","0-2870-8125",1,"0"
